Colonisation.Events_Natives,Extinction.Events_Natives,Colonisation.Events_Exotics,Extinction.Events_Exotics,Richness_Natives,Richness_Exotics,Island.Isolation,Island.Area,C.repens_Diameter,C.repens_Age
1,1,2,1,3.13,1.38,18,65,20.7,17
0,0,6,5,6,6.88,18,57.5,13.3,15
3,1,3,1,5.25,2,31,95,11.9,3
1,3,0,0,2.75,0,17,18.9,5.3,2
2,2,7,6,9.13,4.13,9,42.6,5,2
1,0,1,1,8.25,0.88,34,14.05,5,3
0,1,1,1,3.38,0.38,42,7.85,11,10
1,1,0,0,2.75,1,38,3.92,9.9,6
2,2,4,4,5.25,1.88,44,36.65,3.6,1
2,1,4,3,3.75,1.5,49,19.46,2.8,1
1,0,0,0,3.75,1,56,36.87,11.6,5
0,0,0,0,2,0,31,23.6,16.2,18
2,1,2,2,3.5,0.25,41,27.1,20.9,13
0,0,3,2,4,2.13,122,52.25,19.8,7
4,4,2,3,4.25,1,6,16.31,17.3,14
2,1,1,1,2.25,0.88,5,20.04,9.9,3
0,1,0,0,1.8,0,12,13.46,9.4,7
1,0,0,0,3.1,0,28,14.55,8,3
2,3,2,2,5.5,1.25,16,63.6,18,11
0,1,0,0,1.3,0,23,21.46,7.8,5
1,2,1,0,6.75,1.38,14,31.58,3.7,1
0,0,0,0,1,0,7,10.61,4.8,3
0,0,1,1,1,0.125,14,5.091,3.4,1
0,0,0,0,1,0,13,9.04,3.7,1
0,0,0,0,2,0,16,16.22,3.2,1
2,2,4,3,6.25,2.38,23,38.78,,
3,3,3,3,5.25,1.38,16,28.1,,
3,1,0,0,3.8,0,8,20.2,,
1,1,1,1,4,1.25,8,22.3,,
2,2,0,0,2.3,0,17,24.9,,
2,2,1,1,6,0.5,44,14,,
0,1,0,1,1.8,0,39,17,,
1,2,1,1,6.88,3.13,98,47,,
1,1,0,0,5.88,1,40,18.8,,
1,1,3,4,7.13,1.88,18,13.3,,
1,1,0,0,1.1,0,12,21.2,,
0,0,0,0,1,0,22,9,,
0,1,3,3,6.25,2.13,68,42.05,,
2,2,3,2,4.75,0.5,65,32.6,,
